person_id,gender,gender_confidence,generation,anomalies,total_relations,outgoing_relations,incoming_relations,unique_relation_types,num_parents,num_children,fatherOf,grandfatherOf,greatGrandfatherOf,daughterOf_incoming,granddaughterOf_incoming,grandsonOf_incoming,greatGranddaughterOf_incoming,greatGrandsonOf_incoming,sisterOf,daughterOf,granddaughterOf,motherOf,grandmotherOf,greatGrandmotherOf,auntOf,fatherOf_incoming,motherOf_incoming,grandmotherOf_incoming,grandfatherOf_incoming,brotherOf_incoming,nephewOf_incoming,brotherOf,sonOf,grandsonOf,greatGrandsonOf,nephewOf,sisterOf_incoming,greatGrandmotherOf_incoming,greatGrandfatherOf_incoming,sonOf_incoming,auntOf_incoming,greatUncleOf_incoming,girlFirstCousinOnceRemovedOf,greatGranddaughterOf,nieceOf,secondUncleOf_incoming,uncleOf_incoming,boyCousinOf,boyFirstCousinOnceRemovedOf,boyCousinOf_incoming,secondAuntOf_incoming,secondAuntOf,girlCousinOf,girlCousinOf_incoming,boyFirstCousinOnceRemovedOf_incoming,greatAuntOf_incoming,girlFirstCousinOnceRemovedOf_incoming,greatAuntOf,nieceOf_incoming,uncleOf,greatUncleOf,secondUncleOf,boySecondCousinOf,girlSecondCousinOf_incoming,boySecondCousinOf_incoming,girlSecondCousinOf,has_anomalies,num_anomalies,anomaly_list
luca631,M,0.6666666666666666,0,[],29,14,15,8,0,2,2.0,10.0,2.0,3.0,7.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
clara1239,F,0.5555555555555556,1,[],28,14,14,14,2,1,,,,,,4.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
theodor816,M,0.5454545454545454,2,[],42,20,22,16,2,3,3.0,3.0,,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,2.0,2.0,,,2.0,1.0,4.0,6.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
gertrude97,Conflict,0.5,1,['gender_conflict'],18,8,10,14,2,0,,,,,,,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,1,gender_conflict
vincent848,M,0.6153846153846154,1,[],30,13,17,17,2,1,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,4.0,2.0,,2.0,2.0,,2.0,3.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,False,0,
lina322,F,0.7142857142857143,1,[],32,16,16,12,2,1,,,,1.0,4.0,1.0,2.0,3.0,,2.0,2.0,1.0,5.0,5.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,False,0,
lena1038,F,0.5333333333333333,1,[],41,20,21,19,2,0,,,,,,,,,3.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,,1.0,,,4.0,3.0,,2.0,,,2.0,,1.0,5.0,3.0,1.0,,,,,,,,,,,,False,0,
maria38,Conflict,0.5,1,['gender_conflict'],7,3,4,4,2,1,,,,1.0,,,,,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,gender_conflict
hannah1068,F,1.0,0,[],16,9,7,7,0,2,,,,,1.0,2.0,3.0,1.0,,,,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
marie169,F,1.0,0,[],6,3,3,6,0,1,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
jonathan674,M,1.0,0,[],12,6,6,6,0,1,1.0,3.0,2.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
thomas42,M,0.6666666666666666,0,[],6,3,3,6,0,1,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
laura1271,F,0.6666666666666666,1,[],36,16,20,16,2,0,,,,,,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,,2.0,2.0,,4.0,2.0,,,,,3.0,,,6.0,3.0,,1.0,,,,,,,,,,,False,0,
sophie646,F,0.7272727272727273,0,[],32,17,15,12,0,0,,,,,,,,,2.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,3.0,,2.0,7.0,4.0,1.0,,1.0,,,,,,,,,,False,0,
claudia94,F,1.0,0,[],12,6,6,7,0,1,,,,1.0,2.0,1.0,2.0,,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
laura345,F,0.6666666666666666,0,[],37,19,18,14,0,2,,,,,2.0,2.0,,,1.0,2.0,4.0,2.0,4.0,,,,,2.0,2.0,,,,,,,,1.0,2.0,2.0,2.0,,,2.0,4.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,False,0,
ella1257,F,0.6,1,[],27,13,14,14,2,1,,,,,,,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,,,,4.0,3.0,,3.0,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,False,0,
clara797,F,1.0,0,[],18,10,8,7,0,2,,,,,3.0,2.0,1.0,2.0,,,,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
anna457,F,0.6,1,[],36,18,18,19,2,0,,,,,,,,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,2.0,,1.0,,,4.0,3.0,,2.0,,,3.0,,2.0,4.0,1.0,1.0,,1.0,,,,,,,,,,False,0,
luca763,M,0.75,0,[],30,15,15,9,0,2,2.0,7.0,6.0,1.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
emma1023,F,1.0,0,[],3,2,1,3,0,1,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
karin468,F,0.6666666666666666,0,[],22,11,11,8,0,1,,,,,1.0,3.0,2.0,4.0,,,,1.0,4.0,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
paula12,F,0.6363636363636364,1,[],31,17,14,12,2,1,,,,1.0,,1.0,,,3.0,2.0,,1.0,1.0,,6.0,1.0,1.0,,,1.0,3.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,False,0,
oskar407,Conflict,0.5,1,['gender_conflict'],7,3,4,4,2,1,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,gender_conflict
karin41,F,1.0,0,[],6,3,3,6,0,1,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
luisa531,F,0.6,1,[],19,9,10,10,2,1,,,,1.0,2.0,1.0,2.0,1.0,,2.0,,1.0,3.0,3.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
marie466,F,1.0,0,[],2,1,1,2,0,1,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
maria1224,F,0.6,1,[],38,19,19,19,2,0,,,,,,,,,3.0,1.0,2.0,,,,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,,3.0,1.0,1.0,,,,,2.0,1.0,,1.0,,,3.0,,1.0,5.0,2.0,1.0,,,1.0,1.0,,,,,,,,False,0,
moritz1139,M,0.6666666666666666,0,[],14,7,7,7,0,2,2.0,2.0,3.0,2.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
emil252,M,0.7777777777777778,1,[],19,10,9,13,2,1,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,False,0,
leonie504,F,0.6666666666666666,0,[],10,5,5,7,0,1,,,,,1.0,,2.0,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
elias798,M,0.75,0,[],20,10,10,9,0,2,2.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
samuel1310,Conflict,0.5,0,['gender_conflict'],2,1,1,2,0,1,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,gender_conflict
sophie1294,F,0.75,0,[],12,6,6,7,0,2,,,,1.0,3.0,,,1.0,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
florian157,M,0.6666666666666666,0,[],14,7,7,7,0,1,1.0,1.0,5.0,1.0,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
samuel1216,M,0.6,1,[],37,18,19,19,2,0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,4.0,,,,,,4.0,2.0,,1.0,,,1.0,,3.0,,,,,False,0,
theodor1203,M,0.8333333333333334,1,[],7,3,4,6,2,0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,False,0,
elias878,M,1.0,0,[],7,5,2,4,0,3,3.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
luisa590,F,1.0,0,[],2,1,1,2,0,1,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
emil607,M,0.75,0,[],25,12,13,9,0,2,2.0,7.0,3.0,1.0,6.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
ella255,F,0.6666666666666666,0,[],6,3,3,6,0,1,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
paul294,M,0.75,0,[],9,4,5,5,0,3,3.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
ella313,F,1.0,0,[],2,1,1,2,0,1,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
magdalena1044,F,0.5333333333333333,2,[],45,22,23,19,2,0,,,,,,,,,4.0,1.0,4.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,2.0,2.0,2.0,,2.0,,,4.0,3.0,,1.0,,,1.0,,1.0,4.0,3.0,1.0,,,,,,,,,,,,False,0,
helena1260,F,0.625,1,[],16,9,7,8,2,0,,,,,,,,,1.0,1.0,,,,,4.0,1.0,1.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,False,0,
oliver381,M,0.7142857142857143,0,[],23,14,9,7,0,0,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,3.0,,,,,,False,0,
oliver71,M,0.6428571428571429,1,[],32,15,17,18,2,0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,4.0,1.0,,2.0,2.0,,1.0,1.0,,,,,,3.0,,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,,,,False,0,
vanessa570,F,0.6363636363636364,1,[],32,16,16,15,2,0,,,,,,,,,1.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,3.0,,,2.0,4.0,,1.0,,,,,,4.0,4.0,,,,,1.0,,,,,,,,False,0,
marcel521,M,0.7,1,[],18,9,9,11,2,0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,2.0,,,,,2.0,,,,,,,2.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,False,0,
moritz259,M,0.6666666666666666,0,[],10,5,5,6,0,1,1.0,1.0,3.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
charlotte891,F,1.0,0,[],3,2,1,3,0,1,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,
sophie753,Conflict,0.5,0,['gender_conflict'],2,1,1,2,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,gender_conflict
tobias1292,M,0.5833333333333334,1,[],27,16,11,14,2,3,3.0,2.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,,,,,,False,0,
