person_id,gender,gender_confidence,gender_female_weight,gender_male_weight,generation,num_mothers,num_fathers,num_children,num_siblings,degree,out_degree,in_degree,has_anomalies,anomaly_count,anomaly_types,is_leaf,is_founder
charlotte1126,F,1.0,51,0,4,1,1,0,4,36,17,19,False,0,,True,False
philipp160,M,1.0,0,42,3,1,1,1,3,28,14,14,False,0,,False,False
marlene304,F,1.0,57,0,3,1,1,0,3,41,20,21,False,0,,True,False
luisa420,F,1.0,21,0,2,0,0,2,1,13,7,6,False,0,,False,False
marie972,F,1.0,18,0,5,1,1,0,1,13,6,7,False,0,,True,False
marko660,M,1.0,0,42,2,1,1,1,2,29,14,15,False,0,,False,False
laura1117,F,1.0,30,0,1,0,0,2,0,18,10,8,False,0,,False,True
paula229,F,1.0,57,0,3,0,0,0,2,39,20,19,False,0,,True,False
elena722,F,1.0,26,0,4,1,1,0,0,24,10,14,False,0,,True,False
gabriel216,M,1.0,0,21,2,1,1,3,0,15,7,8,False,0,,False,False
jonathan349,M,1.0,0,18,0,0,0,2,0,13,6,7,False,0,,False,True
emma1251,F,1.0,27,0,2,0,0,2,0,16,9,7,False,0,,False,True
konstantin1049,M,1.0,0,42,0,0,0,1,0,28,14,14,False,0,,False,True
johanna1119,F,1.0,51,0,4,1,1,0,4,36,17,19,False,0,,True,False
lisa310,F,1.0,39,0,0,0,0,1,0,26,13,13,False,0,,False,True
helga553,F,1.0,6,0,3,0,0,2,0,5,2,3,False,0,,False,True
nico1246,M,1.0,0,47,4,1,1,1,3,34,16,18,False,0,,False,False
felix587,M,1.0,0,38,4,1,1,1,3,28,13,15,False,0,,False,False
jan168,M,1.0,0,42,3,0,0,0,3,26,14,12,False,0,,True,False
moritz758,M,1.0,0,18,1,1,1,0,1,10,6,4,False,0,,True,False
luisa531,F,1.0,27,0,1,1,1,2,0,19,9,10,False,0,,False,False
matthias724,M,1.0,0,12,2,0,0,1,0,8,4,4,False,0,,False,True
johanna389,F,1.0,6,0,3,0,0,2,0,5,2,3,False,0,,False,True
julia1213,F,1.0,54,0,2,1,1,4,1,32,18,14,False,0,,False,False
helena558,F,1.0,48,0,3,1,1,3,4,34,16,18,False,0,,False,False
clara377,F,1.0,42,0,1,1,1,1,3,25,14,11,False,0,,False,False
paul1008,M,1.0,0,51,3,1,1,2,4,35,18,17,False,0,,False,False
adrian303,M,1.0,0,55,3,1,1,1,1,41,20,21,False,0,,False,False
beate196,F,1.0,36,0,4,1,1,0,3,26,12,14,False,0,,True,False
katharina446,F,1.0,39,0,2,1,1,4,0,27,13,14,False,0,,False,False
maximilian916,M,1.0,0,34,4,1,1,0,0,28,13,15,False,0,,True,False
simon278,M,1.0,0,15,2,1,1,2,0,11,5,6,False,0,,False,False
luca619,M,1.0,0,3,3,0,0,2,0,3,1,2,False,0,,False,True
lara682,F,1.0,57,0,3,1,1,0,2,42,20,22,False,0,,True,False
benjamin1115,M,1.0,0,30,1,1,1,1,0,20,10,10,False,0,,False,False
sophie546,F,1.0,29,0,5,1,1,0,0,22,10,12,False,0,,True,False
natalie1313,F,1.0,30,0,1,1,1,0,1,16,10,6,False,0,,True,False
