source,rule,r1,r2,r3,std_support,std_body,std_confidence,pca_support,pca_body,pca_confidence
inductive_inverse,"girlSecondCousinOf(X,Y) -> boySecondCousinOf(Y,X)",girlSecondCousinOf,boySecondCousinOf,,40,62,0.6451612903225806,40,40,1.0
inductive_inverse,"boySecondCousinOf(X,Y) -> girlSecondCousinOf(Y,X)",boySecondCousinOf,girlSecondCousinOf,,40,68,0.5882352941176471,40,40,1.0
inductive_inverse,"nephewOf(X,Y) -> auntOf(Y,X)",nephewOf,auntOf,,298,514,0.5797665369649806,298,298,1.0
inductive_inverse,"secondAuntOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",secondAuntOf,boyFirstCousinOnceRemovedOf,,98,175,0.56,98,98,1.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> secondAuntOf(Y,X)",boyFirstCousinOnceRemovedOf,secondAuntOf,,98,180,0.5444444444444444,98,98,1.0
inductive_inverse,"brotherOf(X,Y) -> sisterOf(Y,X)",brotherOf,sisterOf,,308,570,0.5403508771929825,308,308,1.0
inductive_inverse,"auntOf(X,Y) -> nephewOf(Y,X)",auntOf,nephewOf,,298,556,0.5359712230215827,298,298,1.0
inductive_inverse,"boyCousinOf(X,Y) -> girlCousinOf(Y,X)",boyCousinOf,girlCousinOf,,209,391,0.5345268542199488,209,209,1.0
inductive_inverse,"girlCousinOf(X,Y) -> girlCousinOf(Y,X)",girlCousinOf,girlCousinOf,,236,445,0.5303370786516854,236,236,1.0
inductive_inverse,"uncleOf(X,Y) -> nieceOf(Y,X)",uncleOf,nieceOf,,238,454,0.5242290748898678,238,238,1.0
inductive_inverse,"nieceOf(X,Y) -> auntOf(Y,X)",nieceOf,auntOf,,258,496,0.5201612903225806,258,258,1.0
inductive_inverse,"secondUncleOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",secondUncleOf,boyFirstCousinOnceRemovedOf,,82,158,0.5189873417721519,82,82,1.0
inductive_inverse,"sisterOf(X,Y) -> sisterOf(Y,X)",sisterOf,sisterOf,,328,636,0.5157232704402516,328,328,1.0
inductive_inverse,"greatGrandfatherOf(X,Y) -> greatGrandsonOf(Y,X)",greatGrandfatherOf,greatGrandsonOf,,312,617,0.5056726094003241,312,312,1.0
inductive_inverse,"greatGrandmotherOf(X,Y) -> greatGrandsonOf(Y,X)",greatGrandmotherOf,greatGrandsonOf,,312,617,0.5056726094003241,312,312,1.0
inductive_inverse,"girlFirstCousinOnceRemovedOf(X,Y) -> secondAuntOf(Y,X)",girlFirstCousinOnceRemovedOf,secondAuntOf,,77,153,0.5032679738562091,77,77,1.0
inductive_inverse,"daughterOf(X,Y) -> fatherOf(Y,X)",daughterOf,fatherOf,,316,628,0.5031847133757962,316,360,0.8777777777777778
inductive_inverse,"grandfatherOf(X,Y) -> grandsonOf(Y,X)",grandfatherOf,grandsonOf,,407,813,0.5006150061500615,407,407,1.0
inductive_inverse,"grandmotherOf(X,Y) -> grandsonOf(Y,X)",grandmotherOf,grandsonOf,,407,813,0.5006150061500615,407,407,1.0
inductive_inverse,"grandsonOf(X,Y) -> grandfatherOf(Y,X)",grandsonOf,grandfatherOf,,407,814,0.5,407,407,1.0
inductive_inverse,"grandsonOf(X,Y) -> grandmotherOf(Y,X)",grandsonOf,grandmotherOf,,407,814,0.5,407,407,1.0
inductive_inverse,"granddaughterOf(X,Y) -> grandfatherOf(Y,X)",granddaughterOf,grandfatherOf,,406,812,0.5,406,406,1.0
inductive_inverse,"granddaughterOf(X,Y) -> grandmotherOf(Y,X)",granddaughterOf,grandmotherOf,,406,812,0.5,406,406,1.0
inductive_inverse,"greatGrandsonOf(X,Y) -> greatGrandfatherOf(Y,X)",greatGrandsonOf,greatGrandfatherOf,,312,624,0.5,312,312,1.0
