source,rule,r1,r2,r3,support,body,std_confidence
inductive_inverse,"girlSecondCousinOf(X,Y) -> boySecondCousinOf(Y,X)",girlSecondCousinOf,boySecondCousinOf,,40,62,0.645161
inductive_inverse,"boySecondCousinOf(X,Y) -> girlSecondCousinOf(Y,X)",boySecondCousinOf,girlSecondCousinOf,,40,68,0.588235
inductive_inverse,"nephewOf(X,Y) -> auntOf(Y,X)",nephewOf,auntOf,,298,514,0.579767
inductive_inverse,"secondAuntOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",secondAuntOf,boyFirstCousinOnceRemovedOf,,98,175,0.56
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> secondAuntOf(Y,X)",boyFirstCousinOnceRemovedOf,secondAuntOf,,98,180,0.544444
inductive_inverse,"brotherOf(X,Y) -> sisterOf(Y,X)",brotherOf,sisterOf,,308,570,0.540351
inductive_inverse,"auntOf(X,Y) -> nephewOf(Y,X)",auntOf,nephewOf,,298,556,0.535971
inductive_inverse,"boyCousinOf(X,Y) -> girlCousinOf(Y,X)",boyCousinOf,girlCousinOf,,209,391,0.534527
inductive_inverse,"girlCousinOf(X,Y) -> girlCousinOf(Y,X)",girlCousinOf,girlCousinOf,,236,445,0.530337
inductive_inverse,"uncleOf(X,Y) -> nieceOf(Y,X)",uncleOf,nieceOf,,238,454,0.524229
inductive_inverse,"nieceOf(X,Y) -> auntOf(Y,X)",nieceOf,auntOf,,258,496,0.520161
inductive_inverse,"secondUncleOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",secondUncleOf,boyFirstCousinOnceRemovedOf,,82,158,0.518987
inductive_inverse,"sisterOf(X,Y) -> sisterOf(Y,X)",sisterOf,sisterOf,,328,636,0.515723
inductive_inverse,"greatGrandfatherOf(X,Y) -> greatGrandsonOf(Y,X)",greatGrandfatherOf,greatGrandsonOf,,312,617,0.505673
inductive_inverse,"greatGrandmotherOf(X,Y) -> greatGrandsonOf(Y,X)",greatGrandmotherOf,greatGrandsonOf,,312,617,0.505673
inductive_inverse,"girlFirstCousinOnceRemovedOf(X,Y) -> secondAuntOf(Y,X)",girlFirstCousinOnceRemovedOf,secondAuntOf,,77,153,0.503268
inductive_inverse,"daughterOf(X,Y) -> fatherOf(Y,X)",daughterOf,fatherOf,,316,628,0.503185
inductive_inverse,"grandfatherOf(X,Y) -> grandsonOf(Y,X)",grandfatherOf,grandsonOf,,407,813,0.500615
inductive_inverse,"grandmotherOf(X,Y) -> grandsonOf(Y,X)",grandmotherOf,grandsonOf,,407,813,0.500615
inductive_inverse,"grandsonOf(X,Y) -> grandfatherOf(Y,X)",grandsonOf,grandfatherOf,,407,814,0.5
inductive_inverse,"grandsonOf(X,Y) -> grandmotherOf(Y,X)",grandsonOf,grandmotherOf,,407,814,0.5
inductive_inverse,"granddaughterOf(X,Y) -> grandfatherOf(Y,X)",granddaughterOf,grandfatherOf,,406,812,0.5
inductive_inverse,"granddaughterOf(X,Y) -> grandmotherOf(Y,X)",granddaughterOf,grandmotherOf,,406,812,0.5
inductive_inverse,"greatGrandsonOf(X,Y) -> greatGrandfatherOf(Y,X)",greatGrandsonOf,greatGrandfatherOf,,312,624,0.5
inductive_inverse,"greatGrandsonOf(X,Y) -> greatGrandmotherOf(Y,X)",greatGrandsonOf,greatGrandmotherOf,,312,624,0.5
inductive_inverse,"greatGranddaughterOf(X,Y) -> greatGrandfatherOf(Y,X)",greatGranddaughterOf,greatGrandfatherOf,,305,610,0.5
inductive_inverse,"greatGranddaughterOf(X,Y) -> greatGrandmotherOf(Y,X)",greatGranddaughterOf,greatGrandmotherOf,,305,610,0.5
inductive_inverse,"grandfatherOf(X,Y) -> granddaughterOf(Y,X)",grandfatherOf,granddaughterOf,,406,813,0.499385
inductive_inverse,"grandmotherOf(X,Y) -> granddaughterOf(Y,X)",grandmotherOf,granddaughterOf,,406,813,0.499385
inductive_inverse,"girlFirstCousinOnceRemovedOf(X,Y) -> secondUncleOf(Y,X)",girlFirstCousinOnceRemovedOf,secondUncleOf,,76,153,0.496732
inductive_inverse,"greatGrandfatherOf(X,Y) -> greatGranddaughterOf(Y,X)",greatGrandfatherOf,greatGranddaughterOf,,305,617,0.494327
inductive_inverse,"greatGrandmotherOf(X,Y) -> greatGranddaughterOf(Y,X)",greatGrandmotherOf,greatGranddaughterOf,,305,617,0.494327
inductive_inverse,"sonOf(X,Y) -> fatherOf(Y,X)",sonOf,fatherOf,,292,600,0.486667
inductive_inverse,"sisterOf(X,Y) -> brotherOf(Y,X)",sisterOf,brotherOf,,308,636,0.484277
inductive_inverse,"secondUncleOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",secondUncleOf,girlFirstCousinOnceRemovedOf,,76,158,0.481013
inductive_inverse,"nieceOf(X,Y) -> uncleOf(Y,X)",nieceOf,uncleOf,,238,496,0.479839
inductive_inverse,"uncleOf(X,Y) -> nephewOf(Y,X)",uncleOf,nephewOf,,216,454,0.475771
inductive_inverse,"girlCousinOf(X,Y) -> boyCousinOf(Y,X)",girlCousinOf,boyCousinOf,,209,445,0.469663
inductive_inverse,"boyCousinOf(X,Y) -> boyCousinOf(Y,X)",boyCousinOf,boyCousinOf,,182,391,0.465473
inductive_inverse,"auntOf(X,Y) -> nieceOf(Y,X)",auntOf,nieceOf,,258,556,0.464029
inductive_inverse,"brotherOf(X,Y) -> brotherOf(Y,X)",brotherOf,brotherOf,,262,570,0.459649
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> secondUncleOf(Y,X)",boyFirstCousinOnceRemovedOf,secondUncleOf,,82,180,0.455556
inductive_inverse,"secondAuntOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",secondAuntOf,girlFirstCousinOnceRemovedOf,,77,175,0.44
inductive_inverse,"fatherOf(X,Y) -> daughterOf(Y,X)",fatherOf,daughterOf,,316,733,0.431105
inductive_inverse,"nephewOf(X,Y) -> uncleOf(Y,X)",nephewOf,uncleOf,,216,514,0.420233
inductive_inverse,"boySecondCousinOf(X,Y) -> boySecondCousinOf(Y,X)",boySecondCousinOf,boySecondCousinOf,,28,68,0.411765
inductive_inverse,"fatherOf(X,Y) -> sonOf(Y,X)",fatherOf,sonOf,,292,733,0.398363
inductive_inverse,"sonOf(X,Y) -> motherOf(Y,X)",sonOf,motherOf,,220,600,0.366667
inductive_inverse,"daughterOf(X,Y) -> motherOf(Y,X)",daughterOf,motherOf,,224,628,0.356688
inductive_inverse,"girlSecondCousinOf(X,Y) -> girlSecondCousinOf(Y,X)",girlSecondCousinOf,girlSecondCousinOf,,22,62,0.354839
inductive_inverse,"motherOf(X,Y) -> daughterOf(Y,X)",motherOf,daughterOf,,224,733,0.305593
inductive_inverse,"motherOf(X,Y) -> sonOf(Y,X)",motherOf,sonOf,,220,733,0.300136
inductive_inverse,"auntOf(X,Y) -> auntOf(Y,X)",auntOf,auntOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> boyCousinOf(Y,X)",auntOf,boyCousinOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",auntOf,boyFirstCousinOnceRemovedOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> boySecondCousinOf(Y,X)",auntOf,boySecondCousinOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> brotherOf(Y,X)",auntOf,brotherOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> daughterOf(Y,X)",auntOf,daughterOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> fatherOf(Y,X)",auntOf,fatherOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> girlCousinOf(Y,X)",auntOf,girlCousinOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",auntOf,girlFirstCousinOnceRemovedOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> girlSecondCousinOf(Y,X)",auntOf,girlSecondCousinOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> granddaughterOf(Y,X)",auntOf,granddaughterOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> grandfatherOf(Y,X)",auntOf,grandfatherOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> grandmotherOf(Y,X)",auntOf,grandmotherOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> grandsonOf(Y,X)",auntOf,grandsonOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> greatAuntOf(Y,X)",auntOf,greatAuntOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> greatGranddaughterOf(Y,X)",auntOf,greatGranddaughterOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> greatGrandfatherOf(Y,X)",auntOf,greatGrandfatherOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> greatGrandmotherOf(Y,X)",auntOf,greatGrandmotherOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> greatGrandsonOf(Y,X)",auntOf,greatGrandsonOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> greatUncleOf(Y,X)",auntOf,greatUncleOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> motherOf(Y,X)",auntOf,motherOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> secondAuntOf(Y,X)",auntOf,secondAuntOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> secondUncleOf(Y,X)",auntOf,secondUncleOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> sisterOf(Y,X)",auntOf,sisterOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> sonOf(Y,X)",auntOf,sonOf,,0,556,0.0
inductive_inverse,"auntOf(X,Y) -> uncleOf(Y,X)",auntOf,uncleOf,,0,556,0.0
inductive_inverse,"boyCousinOf(X,Y) -> auntOf(Y,X)",boyCousinOf,auntOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",boyCousinOf,boyFirstCousinOnceRemovedOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> boySecondCousinOf(Y,X)",boyCousinOf,boySecondCousinOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> brotherOf(Y,X)",boyCousinOf,brotherOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> daughterOf(Y,X)",boyCousinOf,daughterOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> fatherOf(Y,X)",boyCousinOf,fatherOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",boyCousinOf,girlFirstCousinOnceRemovedOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> girlSecondCousinOf(Y,X)",boyCousinOf,girlSecondCousinOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> granddaughterOf(Y,X)",boyCousinOf,granddaughterOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> grandfatherOf(Y,X)",boyCousinOf,grandfatherOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> grandmotherOf(Y,X)",boyCousinOf,grandmotherOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> grandsonOf(Y,X)",boyCousinOf,grandsonOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatAuntOf(Y,X)",boyCousinOf,greatAuntOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGranddaughterOf(Y,X)",boyCousinOf,greatGranddaughterOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGrandfatherOf(Y,X)",boyCousinOf,greatGrandfatherOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGrandmotherOf(Y,X)",boyCousinOf,greatGrandmotherOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGrandsonOf(Y,X)",boyCousinOf,greatGrandsonOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatUncleOf(Y,X)",boyCousinOf,greatUncleOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> motherOf(Y,X)",boyCousinOf,motherOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> nephewOf(Y,X)",boyCousinOf,nephewOf,,0,391,0.0
inductive_inverse,"boyCousinOf(X,Y) -> nieceOf(Y,X)",boyCousinOf,nieceOf,,0,391,0.0
