person_id,gender,gender_confidence,gender_female_weight,gender_male_weight,generation,num_mothers,num_fathers,num_children,num_siblings,degree,out_degree,in_degree,has_anomalies,anomaly_count,anomaly_types,is_leaf,is_founder
maximilian498,M,1.0,0,9,2,0,0,1,0,6,3,3,False,0,,False,True
fabian1247,M,1.0,0,47,2,1,1,0,3,34,16,18,False,0,,True,False
victoria515,F,1.0,24,0,4,1,1,1,2,15,8,7,False,0,,False,False
konstantin439,M,1.0,0,36,4,1,1,0,3,22,12,10,False,0,,True,False
emma1023,F,1.0,6,0,2,0,0,1,0,3,2,1,False,0,,False,True
valentina25,F,1.0,3,0,1,0,0,1,0,2,1,1,False,0,,False,True
marko48,M,1.0,0,9,2,0,0,1,0,6,3,3,False,0,,False,True
marlene405,F,1.0,54,0,2,1,1,1,3,35,18,17,False,0,,False,False
nico888,M,1.0,0,6,1,1,1,1,0,4,2,2,False,0,,False,False
karin440,F,1.0,15,0,4,0,0,2,0,11,5,6,False,0,,False,True
larissa885,F,1.0,51,0,1,1,1,0,1,37,18,19,False,0,,True,False
maximilian916,M,1.0,0,34,0,1,1,0,0,28,13,15,False,0,,True,False
selina1184,F,1.0,51,0,2,1,1,2,4,30,17,13,False,0,,False,False
johanna116,F,1.0,45,0,3,1,1,0,3,27,15,12,False,0,,True,False
oliver1133,M,1.0,0,30,2,1,1,1,1,21,10,11,False,0,,False,False
jonas204,M,1.0,0,9,4,0,0,2,0,6,3,3,False,0,,False,True
sarah390,F,1.0,28,0,1,0,0,0,1,22,10,12,False,0,,True,True
michael288,M,1.0,0,52,1,0,0,0,1,36,18,18,False,0,,True,True
julian410,M,1.0,0,30,0,1,1,0,0,25,11,14,False,0,,True,False
thomas218,M,1.0,0,3,2,0,0,1,0,2,1,1,False,0,,False,True
katharina266,F,1.0,27,0,3,1,1,2,0,19,9,10,False,0,,False,False
emily1149,F,1.0,15,0,4,0,0,1,0,9,5,4,False,0,,False,True
dominik1227,M,1.0,0,50,2,1,1,0,4,37,18,19,False,0,,True,False
emma550,F,1.0,18,0,5,0,0,1,0,12,6,6,False,0,,False,True
angelina1028,F,1.0,57,0,2,1,1,4,3,34,19,15,False,0,,False,False
vincent597,M,1.0,0,9,4,1,1,1,0,6,3,3,False,0,,False,False
michael939,M,1.0,0,30,2,1,1,0,1,26,12,14,False,0,,True,False
ella1257,F,1.0,37,0,1,1,1,1,0,27,13,14,False,0,,False,False
marko416,M,1.0,0,57,2,1,1,0,3,36,19,17,False,0,,True,False
sebastian547,M,1.0,0,44,1,0,0,0,1,29,15,14,False,0,,True,True
emil465,M,1.0,0,49,1,1,1,0,0,36,18,18,False,0,,True,False
jonathan585,M,1.0,0,21,5,0,0,1,0,15,7,8,False,0,,False,True
daniel695,M,1.0,0,33,4,0,0,2,0,22,11,11,False,0,,False,True
sophie646,F,1.0,44,0,1,0,0,0,2,32,17,15,False,0,,True,True
lisa194,F,1.0,36,0,1,1,1,0,3,26,12,14,False,0,,True,False
sophie787,F,1.0,21,0,4,0,0,2,0,12,7,5,False,0,,False,True
vanessa1179,F,1.0,34,0,1,1,1,0,0,26,12,14,False,0,,True,False
marlene472,F,1.0,48,0,2,0,0,1,4,30,16,14,False,0,,False,True
marcel700,M,1.0,0,3,2,0,0,1,0,1,1,0,False,0,,False,True
charlotte891,F,1.0,6,0,2,0,0,1,0,3,2,1,False,0,,False,True
karin284,F,1.0,9,0,1,1,1,1,0,6,3,3,False,0,,False,False
lukas223,M,1.0,0,3,1,0,0,1,0,2,1,1,False,0,,False,True
valentina74,F,1.0,3,0,1,0,0,1,0,2,1,1,False,0,,False,True
luca129,M,1.0,0,29,0,0,0,0,1,22,11,11,False,0,,True,True
marie1144,F,1.0,15,0,3,0,0,1,0,9,5,4,False,0,,False,True
marlene1278,F,1.0,36,0,3,0,0,1,0,23,12,11,False,0,,False,True
christian1276,M,1.0,0,27,4,0,0,2,0,18,9,9,False,0,,False,True
sophie1289,F,1.0,42,0,0,1,1,0,1,36,16,20,False,0,,True,False
helena755,F,1.0,54,0,2,1,1,0,2,36,18,18,False,0,,True,False
alexander573,M,1.0,0,30,4,1,1,0,2,15,10,5,False,0,,True,False
gabriel1140,M,1.0,0,43,0,1,1,0,1,33,15,18,False,0,,True,False
adrian735,M,1.0,0,51,3,1,1,3,0,32,17,15,False,0,,False,False
gabriel1248,M,1.0,0,47,2,1,1,1,3,33,16,17,False,0,,False,False
lukas269,M,1.0,0,6,2,0,0,1,0,4,2,2,False,0,,False,True
elias865,M,1.0,0,6,4,0,0,1,0,4,2,2,False,0,,False,True
sophie138,F,1.0,6,0,2,0,0,1,0,5,2,3,False,0,,False,True
valentin1113,M,1.0,0,33,2,1,1,3,0,23,11,12,False,0,,False,False
isabella807,F,1.0,51,0,4,1,1,0,4,31,17,14,False,0,,True,False
sarah1095,F,1.0,39,0,2,1,1,1,2,23,13,10,False,0,,False,False
philipp958,M,1.0,0,39,2,1,1,2,0,30,14,16,False,0,,False,False
helena872,F,1.0,6,0,2,0,0,1,0,4,2,2,False,0,,False,True
lorenz1092,M,1.0,0,54,0,1,1,0,1,41,19,22,False,0,,True,False
ella500,F,1.0,44,0,1,1,1,2,0,32,15,17,False,0,,False,False
simon297,M,1.0,0,3,1,0,0,1,0,2,1,1,False,0,,False,True
marie1103,F,1.0,12,0,3,0,0,1,0,7,4,3,False,0,,False,True
noah501,M,1.0,0,6,1,0,0,2,0,5,2,3,False,0,,False,True
luca631,M,1.0,0,42,3,0,0,2,0,29,14,15,False,0,,False,True
ella990,F,1.0,3,0,1,0,0,1,0,2,1,1,False,0,,False,True
magdalena782,F,1.0,46,0,2,1,1,0,4,33,16,17,False,0,,True,False
beate406,F,1.0,57,0,2,1,1,0,3,36,19,17,False,0,,True,False
victoria30,F,1.0,18,0,2,0,0,3,0,13,6,7,False,0,,False,True
laura143,F,1.0,64,0,1,0,0,0,4,42,22,20,False,0,,True,True
leon1109,M,1.0,0,51,0,1,1,0,4,36,17,19,False,0,,True,False
sophie948,F,1.0,27,0,4,1,1,2,1,17,9,8,False,0,,False,False
tobias1155,M,1.0,0,39,1,1,1,0,1,27,13,14,False,0,,True,False
jan168,M,1.0,0,42,3,0,0,0,3,26,14,12,False,0,,True,True
alexander325,M,1.0,0,3,1,0,0,1,0,2,1,1,False,0,,False,True
lea352,F,1.0,24,0,4,1,1,2,1,14,8,6,False,0,,False,False
amelie62,F,1.0,27,0,5,0,0,1,0,18,9,9,False,0,,False,True
gabriel273,M,1.0,0,39,1,1,1,0,0,30,14,16,False,0,,True,False
moritz758,M,1.0,0,18,4,1,1,0,1,10,6,4,False,0,,True,False
laura399,F,1.0,49,0,1,1,1,1,2,37,17,20,False,0,,False,False
vanessa783,F,1.0,42,0,1,1,1,0,1,34,16,18,False,0,,True,False
jonathan480,M,1.0,0,52,1,0,0,1,1,34,18,16,False,0,,False,True
leon343,M,1.0,0,40,3,1,1,1,0,29,14,15,False,0,,False,False
daniel311,M,1.0,0,39,4,0,0,1,0,26,13,13,False,0,,False,True
johanna1119,F,1.0,51,0,0,1,1,0,4,36,17,19,False,0,,True,False
emil607,M,1.0,0,36,3,0,0,2,0,25,12,13,False,0,,False,True
christian572,M,1.0,0,12,3,0,0,1,0,8,4,4,False,0,,False,True
oliver207,M,1.0,0,36,0,1,1,0,1,25,12,13,False,0,,True,False
tobias625,M,1.0,0,44,0,0,0,0,1,32,16,16,False,0,,True,True
alina1124,F,1.0,30,0,2,1,1,0,1,16,10,6,False,0,,True,False
alexander1142,M,1.0,0,30,2,1,1,2,1,21,10,11,False,0,,False,False
florian589,M,1.0,0,38,1,0,0,1,3,26,13,13,False,0,,False,True
tobias698,M,1.0,0,39,1,1,1,0,1,30,14,16,False,0,,True,False
charlotte1126,F,1.0,51,0,0,1,1,0,4,36,17,19,False,0,,True,False
selina588,F,1.0,38,0,1,1,1,0,3,28,13,15,False,0,,True,False
sofia530,F,1.0,51,0,2,1,1,1,2,34,17,17,False,0,,False,False
tobias600,M,1.0,0,6,5,0,0,1,0,4,2,2,False,0,,False,True
clara615,F,1.0,24,0,3,0,0,1,0,16,8,8,False,0,,False,True
felix441,M,1.0,0,15,4,0,0,2,0,11,5,6,False,0,,False,True
theodor552,M,1.0,0,44,1,0,0,1,1,30,16,14,False,0,,False,True
patrick652,M,1.0,0,12,2,1,1,1,0,8,4,4,False,0,,False,False
paul925,M,1.0,0,27,4,0,0,2,0,18,9,9,False,0,,False,True
stefan72,M,1.0,0,6,2,0,0,1,0,4,2,2,False,0,,False,True
lara1244,F,1.0,47,0,3,1,1,4,0,29,16,13,False,0,,False,False
christian346,M,1.0,0,24,2,1,1,2,0,16,8,8,False,0,,False,False
lena1038,F,1.0,55,0,1,1,1,0,3,41,20,21,False,0,,True,False
nina1241,F,1.0,3,0,4,0,0,1,0,2,1,1,False,0,,False,True
sarah437,F,1.0,3,0,1,0,0,1,0,2,1,1,False,0,,False,True
alina671,F,1.0,18,0,4,0,0,2,0,10,6,4,False,0,,False,True
philipp1198,M,1.0,0,6,2,0,0,2,0,4,2,2,False,0,,False,True
theodor669,M,1.0,0,3,1,0,0,1,0,2,1,1,False,0,,False,True
fabian715,M,1.0,0,36,4,1,1,4,0,25,12,13,False,0,,False,False
florian1274,M,1.0,0,44,0,1,1,0,3,36,16,20,False,0,,True,False
luisa531,F,1.0,27,0,4,1,1,1,0,19,9,10,False,0,,False,False
elena1084,F,1.0,46,0,1,1,1,0,4,33,16,17,False,0,,True,False
oliver117,M,1.0,0,3,3,0,0,1,0,2,1,1,False,0,,False,True
dominik985,M,1.0,0,6,3,0,0,1,0,3,2,1,False,0,,False,True
katharina584,F,1.0,21,0,5,0,0,1,0,15,7,8,False,0,,False,True
helga315,F,1.0,48,0,1,0,0,1,4,31,16,15,False,0,,False,True
alina123,F,1.0,30,0,0,0,0,0,1,22,11,11,False,0,,True,True
leo449,M,1.0,0,45,3,1,1,3,0,31,15,16,False,0,,False,False
vincent372,M,1.0,0,45,4,1,1,4,3,31,15,16,False,0,,False,False
anastasia1101,F,1.0,12,0,2,1,1,1,0,8,4,4,False,0,,False,False
fabian140,M,1.0,0,64,1,1,1,1,4,44,22,22,False,0,,False,False
beate36,F,1.0,24,0,4,1,1,1,0,16,8,8,False,0,,False,False
helena1070,F,1.0,3,0,1,0,0,1,0,2,1,1,False,0,,False,True
charlotte1097,F,1.0,41,0,0,1,1,0,0,33,15,18,False,0,,True,False
mia823,F,1.0,21,0,4,0,0,1,0,14,7,7,False,0,,False,True
valerie211,F,1.0,44,0,2,0,0,2,2,29,15,14,False,0,,False,True
thomas875,M,1.0,0,51,1,1,1,0,1,37,18,19,False,0,,True,False
helga976,F,1.0,45,0,3,1,1,2,3,28,15,13,False,0,,False,False
vanessa394,F,1.0,54,0,2,0,0,2,3,35,18,17,False,0,,False,True
marcel580,M,1.0,0,50,3,1,1,2,2,34,17,17,False,0,,False,False
marcel1058,M,1.0,0,33,3,1,1,4,0,23,11,12,False,0,,False,False
patrick283,M,1.0,0,12,4,0,0,1,0,8,4,4,False,0,,False,True
nora564,F,1.0,43,0,1,1,1,0,0,32,16,16,False,0,,True,False
valerie1067,F,1.0,54,0,2,1,1,1,3,36,18,18,False,0,,False,False
luis360,M,1.0,0,6,4,0,0,2,0,4,2,2,False,0,,False,True
vanessa276,F,1.0,42,0,2,0,0,1,2,26,14,12,False,0,,False,True
fabian608,M,1.0,0,48,2,1,1,2,2,30,16,14,False,0,,False,False
anna650,F,1.0,40,0,0,1,1,0,0,34,16,18,False,0,,True,False
marcel521,M,1.0,0,25,3,1,1,0,0,18,9,9,False,0,,True,False
lisa971,F,1.0,28,0,3,1,1,0,1,21,10,11,False,0,,True,False
anna1195,F,1.0,51,0,1,1,1,2,1,35,18,17,False,0,,False,False
laura308,F,1.0,54,0,1,1,1,0,0,41,20,21,False,0,,True,False
matthias724,M,1.0,0,12,3,0,0,1,0,8,4,4,False,0,,False,True
jonas170,M,1.0,0,9,4,0,0,1,0,6,3,3,False,0,,False,True
adam426,M,1.0,0,15,5,0,0,1,0,11,5,6,False,0,,False,True
marko928,M,1.0,0,33,4,1,1,1,1,19,11,8,False,0,,False,False
vanessa570,F,1.0,44,0,1,1,1,0,1,32,16,16,False,0,,True,False
luca197,M,1.0,0,12,1,1,1,2,0,8,4,4,False,0,,False,False
oskar771,M,1.0,0,42,1,1,1,0,1,36,17,19,False,0,,True,False
philipp275,M,1.0,0,24,4,0,0,1,0,16,8,8,False,0,,False,True
felix245,M,1.0,0,27,4,1,1,2,0,18,9,9,False,0,,False,False
marlene679,F,1.0,29,0,0,1,1,0,0,21,10,11,False,0,,True,False
maximilian828,M,1.0,0,42,1,1,1,0,2,30,14,16,False,0,,True,False
marko232,M,1.0,0,3,3,0,0,1,0,2,1,1,False,0,,False,True
thomas860,M,1.0,0,6,2,0,0,1,0,4,2,2,False,0,,False,True
jakob729,M,1.0,0,27,5,0,0,1,0,18,9,9,False,0,,False,True
leon427,M,1.0,0,21,3,1,1,1,2,15,7,8,False,0,,False,False
anna234,F,1.0,57,0,1,1,1,0,2,41,20,21,False,0,,True,False
jakob647,M,1.0,0,44,1,1,1,0,2,34,17,17,False,0,,True,False
marko660,M,1.0,0,42,3,1,1,1,2,29,14,15,False,0,,False,False
olivia1043,F,1.0,62,0,1,1,1,1,4,44,22,22,False,0,,False,False
rene254,M,1.0,0,12,6,0,0,1,0,8,4,4,False,0,,False,True
valentin1259,M,1.0,0,19,0,1,1,0,0,18,7,11,False,0,,True,False
emil1191,M,1.0,0,9,1,1,1,1,1,7,3,4,False,0,,False,False
vincent973,M,1.0,0,36,4,0,0,4,0,20,12,8,False,0,,False,True
helga203,F,1.0,36,0,4,1,1,2,2,22,12,10,False,0,,False,False
marko1057,M,1.0,0,39,3,1,1,0,2,24,13,11,False,0,,True,False
lena906,F,1.0,43,0,1,1,1,2,3,30,15,15,False,0,,False,False
helena691,F,1.0,24,0,2,1,1,1,3,17,8,9,False,0,,False,False
lisa445,F,1.0,21,0,3,1,1,0,2,13,7,6,False,0,,True,False
nico4,M,1.0,0,52,0,0,0,0,2,39,19,20,False,0,,True,True
philipp432,M,1.0,0,6,2,0,0,1,0,4,2,2,False,0,,False,True
amelie364,F,1.0,3,0,1,0,0,1,0,2,1,1,False,0,,False,True
christian1053,M,1.0,0,39,3,1,1,0,2,24,13,11,False,0,,True,False
nico221,M,1.0,0,30,4,0,0,1,0,21,10,11,False,0,,False,True
matthias323,M,1.0,0,33,3,0,0,1,0,22,11,11,False,0,,False,True
sebastian827,M,1.0,0,21,5,0,0,2,0,14,7,7,False,0,,False,True
lara1190,F,1.0,51,0,1,1,1,1,1,36,18,18,False,0,,False,False
florian1111,M,1.0,0,21,3,0,0,1,0,14,7,7,False,0,,False,True
luis68,M,1.0,0,15,4,0,0,1,0,10,5,5,False,0,,False,True
lea618,F,1.0,54,0,1,1,1,1,3,39,19,20,False,0,,False,False
luis1150,M,1.0,0,15,4,0,0,1,0,10,5,5,False,0,,False,True
emilia497,F,1.0,9,0,2,0,0,1,0,6,3,3,False,0,,False,True
claudia579,F,1.0,27,0,3,0,0,2,0,18,9,9,False,0,,False,True
marcel785,M,1.0,0,18,0,1,1,0,0,14,6,8,False,0,,True,False
lara560,F,1.0,51,0,2,1,1,1,4,35,17,18,False,0,,False,False
sebastian964,M,1.0,0,27,5,0,0,3,0,18,9,9,False,0,,False,True
nico63,M,1.0,0,27,5,0,0,1,0,18,9,9,False,0,,False,True
konstantin347,M,1.0,0,48,1,1,1,1,1,32,16,16,False,0,,False,False
leon519,M,1.0,0,18,4,0,0,1,0,12,6,6,False,0,,False,True
sarah542,F,1.0,21,0,4,0,0,1,0,14,7,7,False,0,,False,True
amelie1141,F,1.0,15,0,2,1,1,2,0,9,5,4,False,0,,False,False
marcel214,M,1.0,0,47,2,1,1,1,2,31,16,15,False,0,,False,False
amelie733,F,1.0,12,0,4,0,0,1,0,7,4,3,False,0,,False,True
stefan947,M,1.0,0,46,3,1,1,1,1,31,16,15,False,0,,False,False
leo693,M,1.0,0,24,2,1,1,0,3,17,8,9,False,0,,True,False
natalie778,F,1.0,42,0,1,1,1,0,1,34,16,18,False,0,,True,False
karin657,F,1.0,44,0,2,1,1,3,0,28,15,13,False,0,,False,False
paula716,F,1.0,39,0,3,1,1,0,3,24,13,11,False,0,,True,False
helena1122,F,1.0,15,0,4,0,0,1,0,9,5,4,False,0,,False,True
konstantin824,M,1.0,0,24,4,1,1,1,0,16,8,8,False,0,,False,False
marcel1042,M,1.0,0,42,4,0,0,1,0,28,14,14,False,0,,False,True
samuel412,M,1.0,0,36,3,1,1,0,1,19,12,7,False,0,,True,False
lara1143,F,1.0,21,0,3,1,1,0,1,12,7,5,False,0,,True,False
sofia654,F,1.0,9,0,3,0,0,1,0,6,3,3,False,0,,False,True
leo1145,M,1.0,0,15,3,0,0,1,0,10,5,5,False,0,,False,True
luisa632,F,1.0,45,0,2,1,1,2,2,30,15,15,False,0,,False,False
julia1151,F,1.0,6,0,2,0,0,2,0,4,2,2,False,0,,False,True
elias626,M,1.0,0,3,1,0,0,1,0,2,1,1,False,0,,False,True
paula591,F,1.0,35,0,1,1,1,0,0,28,13,15,False,0,,True,False
amelie277,F,1.0,33,0,3,0,0,0,2,16,11,5,False,0,,True,True
elias1064,M,1.0,0,38,1,1,1,1,1,28,13,15,False,0,,False,False
mia1127,F,1.0,15,0,3,1,1,0,2,10,5,5,False,0,,True,False
adrian330,M,1.0,0,51,0,0,0,0,1,34,18,16,False,0,,True,True
lara682,F,1.0,57,0,1,1,1,0,2,42,20,22,False,0,,True,False
selina475,F,1.0,39,0,4,1,1,1,1,26,13,13,False,0,,False,False
nico744,M,1.0,0,28,0,1,1,0,1,23,10,13,False,0,,True,False
clara423,F,1.0,21,0,5,0,0,3,0,15,7,8,False,0,,False,True
moritz663,M,1.0,0,27,4,1,1,3,0,19,9,10,False,0,,False,False
michael803,M,1.0,0,34,2,1,1,0,2,28,12,16,False,0,,True,False
selina10,F,1.0,60,0,1,1,1,0,4,42,21,21,False,0,,True,False
tobias713,M,1.0,0,48,1,1,1,1,1,38,17,21,False,0,,False,False
olivia1007,F,1.0,51,0,1,1,1,2,4,37,18,19,False,0,,False,False
sophie248,F,1.0,21,0,5,1,1,1,0,14,7,7,False,0,,False,False
magdalena801,F,1.0,27,0,6,0,0,1,0,17,9,8,False,0,,False,True
lorenz543,M,1.0,0,21,4,0,0,1,0,14,7,7,False,0,,False,True
jonas747,M,1.0,0,18,5,0,0,2,0,12,6,6,False,0,,False,True
emma1251,F,1.0,27,0,4,0,0,2,0,16,9,7,False,0,,False,True
elena609,F,1.0,12,0,2,1,1,2,0,9,4,5,False,0,,False,False
lena1112,F,1.0,30,0,2,1,1,3,1,18,10,8,False,0,,False,False
isabella166,F,1.0,30,0,5,1,1,1,1,20,10,10,False,0,,False,False
elena998,F,1.0,3,0,3,0,0,1,0,2,1,1,False,0,,False,True
elias46,M,1.0,0,9,5,0,0,1,0,6,3,3,False,0,,False,True
charlotte903,F,1.0,15,0,2,1,1,2,1,11,5,6,False,0,,False,False
larissa924,F,1.0,42,0,4,1,1,2,1,25,14,11,False,0,,False,False
katharina861,F,1.0,6,0,3,1,1,1,0,4,2,2,False,0,,False,False
lisa5,F,1.0,52,0,0,1,1,0,2,41,19,22,False,0,,True,False
nora721,F,1.0,3,0,2,0,0,1,0,2,1,1,False,0,,False,True
leo121,M,1.0,0,40,1,1,1,1,1,32,14,18,False,0,,False,False
vincent848,M,1.0,0,37,1,1,1,1,1,30,13,17,False,0,,False,False
thomas966,M,1.0,0,22,1,1,1,0,1,18,8,10,False,0,,True,False
stefan677,M,1.0,0,36,3,1,1,1,2,21,12,9,False,0,,False,False
raphael840,M,1.0,0,18,5,0,0,1,0,12,6,6,False,0,,False,True
david396,M,1.0,0,39,3,1,1,3,1,27,13,14,False,0,,False,False
johanna131,F,1.0,33,0,2,1,1,4,0,23,11,12,False,0,,False,False
isabella815,F,1.0,18,0,2,0,0,3,0,9,6,3,False,0,,False,True
marie113,F,1.0,27,0,5,0,0,1,0,19,9,10,False,0,,False,True
noah128,M,1.0,0,43,1,1,1,0,1,33,15,18,False,0,,True,False
hannah39,F,1.0,38,0,0,1,1,0,1,26,13,13,False,0,,True,False
nina1063,F,1.0,9,0,2,0,0,2,0,4,3,1,False,0,,False,True
luis35,M,1.0,0,9,5,0,0,1,0,7,3,4,False,0,,False,True
marlene884,F,1.0,32,0,0,1,1,0,2,28,12,16,False,0,,True,False
tobias444,M,1.0,0,36,4,1,1,0,3,22,12,10,False,0,,True,False
mia17,F,1.0,3,0,1,0,0,1,0,2,1,1,False,0,,False,True
sophie187,F,1.0,21,0,3,0,0,1,0,15,7,8,False,0,,False,True
valerie1138,F,1.0,21,0,4,0,0,2,0,12,7,5,False,0,,False,True
